,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,new_addition
0,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2022-11-24 09:30:26,2022-11-21 14:40:05,1729,12.0,772,147,509,106.0,859.0,7472,2022-09-08 09:26:24,3.1.1,55.0,GraphQL framework for Python.,14293.0,14293.0,193.0,https://pypi.org/project/graphene,1707006,1707006,36,True,1,,
1,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2022-11-24 15:49:11,2022-11-15 14:49:12,2442,172.0,332,44,1704,220.0,371.0,2751,2022-11-15 10:41:42,0.142.2,100.0,A GraphQL library for Python that leverages type annotations.,814.0,814.0,160.0,https://pypi.org/project/strawberry,350,404,31,True,2,380.0,
2,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2022-11-25 18:53:14,2022-11-23 13:38:03,1524,32.0,153,41,574,35.0,211.0,1896,2022-09-26 13:58:49,0.16.1,25.0,Python library for implementing GraphQL servers using schema-first approach.,,,62.0,https://pypi.org/project/ariadne,131694,131694,28,True,3,,
3,opentelemetry-instrumentation-fastapi,open-telemetry/opentelemetry-python-contrib,opentelemetry-instrumentation-fastapi,['observability'],restful-api-observability,https://github.com/open-telemetry/opentelemetry-python-contrib,https://github.com/open-telemetry/opentelemetry-python-contrib,Apache-2.0,2019-11-08 18:23:43,2022-11-25 17:08:48,2022-11-24 11:14:12,1657,126.0,268,15,898,207.0,359.0,356,2022-11-03 20:08:44,0.35b0,27.0,OpenTelemetry instrumentation for Python modules.,,,164.0,https://pypi.org/project/opentelemetry-instrumentation-fastapi,446006,446006,28,True,1,,
4,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2022-11-04 08:51:39,2022-11-04 08:47:33,653,20.0,226,33,506,4.0,216.0,2276,2022-11-04 08:56:49,10.2.1,88.0,Ready-to-use and customizable users management for FastAPI.,,,53.0,https://pypi.org/project/fastapi-users,26293,26293,26,True,1,4.0,
5,fastapi-login,MushroomMaula/fastapi_login,fastapi-login,['authentication'],restful-api-authentication,https://github.com/MushroomMaula/fastapi_login,https://github.com/MushroomMaula/fastapi_login,MIT,2019-10-21 14:47:00,2022-10-18 19:04:51,2022-10-18 19:04:51,424,25.0,44,5,48,4.0,44.0,399,2022-10-18 18:47:20,1.8.3,17.0,FastAPI-Login tries to provide similar functionality as Flask-Login does.,307.0,307.0,10.0,https://pypi.org/project/fastapi-login,10782,10782,25,True,2,3.0,
6,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2022-11-23 03:06:23,2022-11-20 20:18:52,746,119.0,69,8,349,12.0,87.0,521,2022-09-04 09:01:46,0.10.0,25.0,FastAPI pagination.,,,21.0,https://pypi.org/project/fastapi-pagination,157623,157623,24,True,1,,
7,fastapi-azure-auth,Intility/fastapi-azure-auth,fastapi-azure-auth,['authentication'],restful-api-authentication,https://github.com/Intility/fastapi-azure-auth,https://github.com/Intility/fastapi-azure-auth,MIT,2021-08-10 19:46:24,2022-11-10 14:28:00,2022-11-10 14:26:53,234,13.0,35,8,60,4.0,43.0,212,2022-11-10 14:28:01,3.5.1,18.0,"Easy and secure implementation of Azure AD for your FastAPI APIs B2C, single- and multi-tenant support.",10.0,10.0,15.0,https://pypi.org/project/fastapi-azure-auth,10747,10747,23,True,2,,
8,sqladmin,aminalaee/sqladmin,sqladmin,[],admin-interface,https://github.com/aminalaee/sqladmin,https://github.com/aminalaee/sqladmin,BSD-3-Clause,2021-12-22 10:09:54,2022-11-24 07:45:32,2022-11-24 07:45:31,214,41.0,83,6,239,14.0,82.0,653,2022-11-22 11:45:49,0.8.0,21.0,SQLAlchemy Admin for FastAPI and Starlette.,,,22.0,https://pypi.org/project/sqladmin,10576,10576,22,True,1,,
9,fastapi-admin,fastapi-admin/fastapi-admin,fastapi-admin,[],admin-interface,https://github.com/fastapi-admin/fastapi-admin,https://github.com/fastapi-admin/fastapi-admin,Apache-2.0,2020-04-06 05:09:44,2022-11-20 08:30:36,2022-10-19 15:03:24,361,4.0,223,30,31,25.0,66.0,1575,2021-08-31 03:28:51,1.0.3,16.0,"A fast admin dashboard based on FastAPI and TortoiseORM with tabler ui, inspired by Django admin.",,,11.0,https://pypi.org/project/fastapi-admin,2061,2061,21,True,3,,
10,tartiflette,tartiflette/tartiflette,tartiflette,[],graphql-api,https://github.com/tartiflette/tartiflette,https://github.com/tartiflette/tartiflette,MIT,2018-01-26 09:56:10,2022-11-21 08:05:13,2022-01-20 14:55:31,1149,,40,21,452,9.0,131.0,833,2021-11-15 11:05:03,1.4.1,44.0,GraphQL Engine built with Python 3.6+ / asyncio.,,,27.0,https://pypi.org/project/tartiflette,3434,3434,21,True,3,,
