,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2023-02-02 13:19:12,2023-02-01 20:48:08,15933,320.0,1030,91,566,148.0,6922.0,6682,2023-02-01 17:27:59,rel_2_0_1,39531.0,59893739,100.0,The Database Toolkit for Python.,501655.0,501655.0,593.0,https://pypi.org/project/sqlalchemy,59892775,44,True,1,
1,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2023-01-28 21:19:21,2023-01-28 21:19:21,4051,39.0,1137,136,1089,341.0,1301.0,3933,2023-01-20 22:17:59,0.26.0,,926974,40.0,A Python Object-Document-Mapper for working with MongoDB.,18982.0,18982.0,385.0,https://pypi.org/project/mongoengine,926974,39,True,1,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2023-01-25 18:40:56,2022-12-25 21:59:05,1736,13.0,773,145,514,103.0,867.0,7553,2022-12-11 20:07:51,3.2.1,,2222789,57.0,GraphQL framework for Python.,15183.0,15183.0,196.0,https://pypi.org/project/graphene,2222789,36,True,1,
3,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2023-01-31 13:50:15,2023-01-13 02:04:33,1158,10.0,292,40,441,384.0,465.0,3353,2023-01-30 02:31:19,0.19.3,9.0,85034,100.0,"Familiar asyncio ORM for python, built with relations in mind.",3852.0,3852.0,118.0,https://pypi.org/project/tortoise-orm,85034,34,True,2,1.0
4,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2023-01-11 20:34:24,2023-01-11 20:34:23,1711,6.0,175,90,189,,,2093,2022-10-25 20:56:31,3.1.1,,1228012,8.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,47483.0,47483.0,41.0,https://pypi.org/project/motor,1228012,33,True,2,
5,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-02-01 23:22:14,2023-02-01 11:05:02,2548,139.0,352,44,1785,254.0,395.0,2915,2023-02-01 11:05:26,0.155.3,410.0,425,100.0,A GraphQL library for Python that leverages type annotations.,1023.0,1023.0,177.0,https://pypi.org/project/strawberry,367,32,True,2,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-01-31 14:14:56,2023-01-31 14:14:55,232,18.0,396,121,223,179.0,143.0,9319,2022-08-30 17:56:11,0.0.8,,312024,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",2798.0,2798.0,54.0,https://pypi.org/project/sqlmodel,312024,31,True,1,-1.0
7,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2023-02-02 04:22:46,2023-01-31 23:22:28,5204,44.0,977,238,1144,,,3774,2022-11-17 21:50:05,4.3.3,,20413180,25.0,PyMongo - the Official MongoDB Python driver.,,,195.0,https://pypi.org/project/pymongo,20413180,31,True,3,
8,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2023-01-25 08:08:33,2023-01-25 08:07:12,663,10.0,240,34,510,2.0,219.0,2446,2023-01-16 10:55:16,10.3.0,15.0,34686,89.0,Ready-to-use and customizable users management for FastAPI.,685.0,685.0,54.0,https://pypi.org/project/fastapi-users,34686,30,True,1,
9,ormar,collerek/ormar,ormar,[],database-orms,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2023-01-31 10:54:17,2023-01-29 12:20:16,1160,32.0,62,15,540,52.0,171.0,1227,2023-01-29 12:21:40,0.12.1,,21601,76.0,python async orm with fastapi in mind and pydantic validation.,525.0,525.0,30.0,https://pypi.org/project/ormar,21601,29,True,2,
10,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2023-01-31 15:39:58,2023-01-20 14:44:22,1538,23.0,154,39,585,35.0,226.0,1952,2023-01-09 11:42:59,0.17.1,,167295,30.0,Python library for implementing GraphQL servers using schema-first approach.,,,62.0,https://pypi.org/project/ariadne,167295,28,True,3,
11,piccolo,piccolo-orm/piccolo,piccolo,[],database-orms,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26,2023-02-01 23:54:47,2023-01-31 18:48:45,1648,48.0,66,11,364,71.0,198.0,966,2023-01-07 16:03:08,0.105.0,,9897,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",137.0,137.0,38.0,https://pypi.org/project/piccolo,9897,28,True,3,
12,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2023-02-02 11:01:09,2023-02-02 11:01:09,855,120.0,76,8,413,2.0,107.0,599,2023-02-02 10:56:10,0.11.3,,192093,29.0,FastAPI pagination.,833.0,833.0,24.0,https://pypi.org/project/fastapi-pagination,192093,28,True,1,
13,opentelemetry-instrumentation-fastapi,open-telemetry/opentelemetry-python-contrib,opentelemetry-instrumentation-fastapi,['observability'],restful-api-observability,https://github.com/open-telemetry/opentelemetry-python-contrib,https://github.com/open-telemetry/opentelemetry-python-contrib,Apache-2.0,2019-11-08 18:23:43,2023-02-02 15:46:51,2023-02-01 13:43:53,1712,73.0,297,14,981,233.0,396.0,392,2022-12-09 21:26:02,0.36b0,,438314,28.0,OpenTelemetry instrumentation for Python modules.,2.0,2.0,176.0,https://pypi.org/project/opentelemetry-instrumentation-fastapi,438314,27,True,1,
14,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2023-01-31 20:36:27,2023-01-30 20:43:04,376,32.0,101,16,205,82.0,125.0,1056,2023-01-30 20:18:30,1.18.0b0,,43823,90.0,Asynchronous Python ODM for MongoDB.,553.0,553.0,38.0,https://pypi.org/project/beanie,43823,25,True,3,-1.0
15,prisma,RobertCraigie/prisma-client-py,prisma,[],database-orms,https://github.com/RobertCraigie/prisma-client-py,https://github.com/RobertCraigie/prisma-client-py,Apache-2.0,2020-12-16 04:29:28,2023-02-02 15:05:30,2023-02-02 14:52:05,718,77.0,43,14,370,126.0,148.0,974,2023-01-01 20:10:16,0.8.0,,9071,26.0,Prisma Client Python is an auto-generated and fully type-safe database client designed for ease of use.,131.0,131.0,20.0,https://pypi.org/project/prisma,9071,25,True,3,1.0
16,gino,python-gino/gino,gino,[],database-orms,https://github.com/python-gino/gino,https://github.com/python-gino/gino,,2017-07-21 04:27:01,2022-02-12 20:35:18,2022-02-12 20:29:45,1128,,145,49,472,46.0,261.0,2531,,,,19596,,GINO Is Not ORM - a Python asyncio ORM on SQLAlchemy core.,1436.0,1436.0,46.0,https://pypi.org/project/gino,19596,24,True,3,
17,prometheus-fastapi-instrumentator,trallnag/prometheus-fastapi-instrumentator,prometheus-fastapi-instrumentator,['observability'],restful-api-observability,https://github.com/trallnag/prometheus-fastapi-instrumentator,https://github.com/trallnag/prometheus-fastapi-instrumentator,ISC,2020-07-09 10:57:52,2023-02-01 05:04:34,2022-12-18 12:08:33,372,6.0,55,5,149,30.0,32.0,449,2022-08-23 18:19:16,5.9.1,,164952,5.0,Instrument your FastAPI app.,457.0,457.0,16.0,https://pypi.org/project/prometheus-fastapi-instrumentator,164952,24,True,3,-1.0
