,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending
0,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2024-01-15 22:38:12,2024-01-08 20:12:26,4136.0,46.0,1143.0,138.0,1114.0,339.0,1339.0,4120.0,2023-03-03 10:21:35,0.27.0,41.0,A Python Object-Document-Mapper for working with MongoDB.,22685.0,22685.0,390.0,https://pypi.org/project/mongoengine,958543,958543,39,True,1,,
1,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2024-01-18 03:14:25,2024-01-09 06:52:30,369.0,123.0,503.0,150.0,320.0,173.0,153.0,12028.0,2023-12-04 14:53:29,0.0.14,13.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",9220.0,9220.0,71.0,https://pypi.org/project/sqlmodel,508357,508357,37,True,1,,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2023-12-26 10:21:55,2023-10-06 20:15:26,1755.0,,798.0,141.0,541.0,105.0,876.0,7888.0,2023-07-26 06:47:55,3.3.0,59.0,GraphQL framework for Python.,19750.0,19750.0,207.0,https://pypi.org/project/graphene,1933780,1933780,35,True,1,,
3,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2024-01-16 21:23:11,2024-01-16 21:23:10,1765.0,19.0,201.0,91.0,245.0,,,2273.0,2023-11-14 21:54:12,3.3.2,13.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,79664.0,79664.0,48.0,https://pypi.org/project/motor,1251047,1251047,35,True,2,,
4,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2024-01-11 20:27:33,2024-01-08 14:16:47,1736.0,52.0,176.0,39.0,639.0,43.0,257.0,2111.0,2023-11-08 15:28:41,0.21.0,40.0,Python library for implementing GraphQL servers using schema-first approach.,1484.0,1484.0,71.0,https://pypi.org/project/ariadne,144482,144482,34,True,2,,
5,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2024-01-18 01:44:14,2024-01-18 01:44:13,1193.0,4.0,338.0,43.0,495.0,483.0,506.0,4065.0,2023-08-11 03:42:54,0.20.0,100.0,"Familiar asyncio ORM for python, built with relations in mind.",6952.0,6952.0,126.0,https://pypi.org/project/tortoise-orm,91721,91721,33,True,1,13.0,
6,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2024-01-17 19:14:46,2024-01-16 10:10:22,3032.0,63.0,472.0,44.0,2362.0,365.0,520.0,3621.0,2024-01-04 15:26:01,0.217.1,100.0,A GraphQL library for Python that leverages type annotations.,2633.0,2633.0,237.0,https://pypi.org/project/strawberry,385,450,32,True,3,459.0,
7,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2024-01-18 17:11:33,2024-01-16 19:29:51,5502.0,58.0,1022.0,240.0,1473.0,,,3986.0,2023-11-29 15:44:00,4.6.1,30.0,PyMongo - the Official MongoDB Python driver.,,,206.0,https://pypi.org/project/pymongo,20786721,20786721,31,True,3,,
8,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2024-01-16 20:07:53,2024-01-10 23:09:15,460.0,28.0,175.0,17.0,306.0,48.0,296.0,1629.0,2023-12-24 23:33:10,1.24.0,100.0,Asynchronous Python ODM for MongoDB.,1865.0,1865.0,69.0,https://pypi.org/project/beanie,133379,133379,31,True,3,,
9,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2024-01-18 04:53:19,2024-01-18 04:53:11,1627.0,168.0,111.0,9.0,800.0,15.0,160.0,932.0,2023-12-17 14:11:41,0.12.14,45.0,FastAPI pagination.,1905.0,1905.0,38.0,https://pypi.org/project/fastapi-pagination,304574,304574,31,True,1,,
