,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending,new_addition
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2024-02-15 06:29:08,2024-02-15 01:04:22,16828,153.0,1264,94,745,204.0,7455.0,8409,2024-02-13 15:05:40,rel_2_0_27,48355.0,105414150.0,100.0,The Database Toolkit for Python.,718120.0,718120.0,687.0,https://pypi.org/project/sqlalchemy,105413122.0,45,True,1,,
1,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2024-02-13 00:20:32,2024-01-20 21:12:55,4138,48.0,1146,138,1115,339.0,1340.0,4131,2023-03-03 10:21:35,0.27.0,,1547998.0,41.0,A Python Object-Document-Mapper for working with MongoDB.,22939.0,22939.0,390.0,https://pypi.org/project/mongoengine,1547998.0,39,True,1,,
2,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2024-02-14 15:11:55,2024-01-09 06:52:30,369,38.0,507,151,324,173.0,153.0,12271,2023-12-04 14:53:29,0.0.14,,690958.0,13.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",9716.0,9716.0,71.0,https://pypi.org/project/sqlmodel,690958.0,36,True,1,,
3,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2023-12-26 10:21:55,2023-10-06 20:15:26,1755,,798,143,541,106.0,877.0,7916,2023-07-26 06:47:55,3.3.0,,2297518.0,59.0,GraphQL framework for Python.,19966.0,19966.0,207.0,https://pypi.org/project/graphene,2297518.0,35,True,1,,
4,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2024-02-12 20:24:00,2024-02-12 20:23:59,1776,18.0,201,91,255,,,2290,2023-11-14 21:54:12,3.3.2,,1454844.0,13.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,81974.0,81974.0,50.0,https://pypi.org/project/motor,1454844.0,35,True,2,,
5,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2024-02-15 16:03:31,2024-02-15 16:03:30,1777,71.0,176,39,645,34.0,267.0,2121,2024-01-31 15:58:31,0.22.0,,180940.0,41.0,Python library for implementing GraphQL servers using schema-first approach.,1510.0,1510.0,72.0,https://pypi.org/project/ariadne,180940.0,34,True,2,1.0,
6,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2024-02-13 12:48:31,2024-02-13 12:48:28,1194,4.0,340,43,495,491.0,506.0,4110,2023-08-11 03:42:54,0.20.0,13.0,111590.0,100.0,"Familiar asyncio ORM for python, built with relations in mind.",7116.0,7116.0,126.0,https://pypi.org/project/tortoise-orm,111590.0,32,True,2,,
7,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2024-02-15 00:44:50,2024-02-10 01:41:47,5537,63.0,1029,240,1519,,,4007,2023-11-29 15:44:00,4.6.1,,24799301.0,30.0,PyMongo - the Official MongoDB Python driver.,,,209.0,https://pypi.org/project/pymongo,24799301.0,32,True,3,,
8,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2024-02-15 09:05:12,2024-02-15 09:04:12,732,16.0,335,40,555,11.0,249.0,3870,2024-02-05 08:55:46,12.1.3,163.0,87420.0,98.0,Ready-to-use and customizable users management for FastAPI.,2795.0,2795.0,63.0,https://pypi.org/project/fastapi-users,87417.0,32,True,1,1.0,
9,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2024-02-15 17:08:19,2024-01-25 05:28:40,467,21.0,178,18,314,55.0,298.0,1686,2024-01-25 05:53:16,1.25.0,,209631.0,100.0,Asynchronous Python ODM for MongoDB.,1957.0,1957.0,71.0,https://pypi.org/project/beanie,209631.0,31,True,3,,
10,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2024-02-15 03:51:31,2024-02-15 03:50:06,1690,165.0,110,9,832,13.0,167.0,952,2024-02-11 13:08:08,0.12.15,,419132.0,46.0,FastAPI pagination.,1978.0,1978.0,38.0,https://pypi.org/project/fastapi-pagination,419132.0,31,True,1,,
11,ormar,collerek/ormar,ormar,[],database-orms,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2024-02-14 17:59:40,2024-02-12 21:57:23,1315,18.0,76,16,765,69.0,178.0,1525,2023-06-18 17:05:55,0.12.2,,79375.0,77.0,python async orm with fastapi in mind and pydantic validation.,964.0,964.0,35.0,https://pypi.org/project/ormar,79375.0,30,True,2,,
12,piccolo,piccolo-orm/piccolo,piccolo,[],database-orms,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26,2024-02-01 15:54:25,2024-01-23 23:03:35,1741,13.0,82,15,435,92.0,244.0,1209,2024-01-23 23:06:33,1.3.0,,18182.0,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",325.0,325.0,42.0,https://pypi.org/project/piccolo,18182.0,29,True,3,,
