,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending,updated_github_id
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2024-05-01 15:51:46,2024-05-01 15:51:29,16947,148.0,1310,97,783,218.0,7529.0,8828,2024-03-23 21:53:32,rel_2_0_29,48003.0,112255190.0,100.0,The Database Toolkit for Python.,767758.0,767758.0,708.0,https://pypi.org/project/sqlalchemy,112254169.0,45,True,1,,
1,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2024-04-24 15:32:09,2024-03-10 11:56:26,4154,16.0,1152,137,1122,347.0,1345.0,4163,2024-03-07 17:35:36,0.28.2,,1266659.0,44.0,A Python Object-Document-Mapper for working with MongoDB.,23835.0,23835.0,391.0,https://pypi.org/project/mongoengine,1266659.0,39,True,1,,
2,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2024-05-01 02:14:43,2024-04-30 06:29:21,404,35.0,543,151,377,175.0,154.0,13037,2024-04-30 06:30:05,0.0.18,,1205576.0,17.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",11581.0,11581.0,72.0,https://pypi.org/project/sqlmodel,1205576.0,36,True,1,,
3,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2024-03-24 05:13:00,2023-10-06 20:15:26,1755,,797,143,542,110.0,877.0,7977,2023-07-26 06:47:55,3.3.0,,6937404.0,59.0,GraphQL framework for Python.,20947.0,20947.0,207.0,https://pypi.org/project/graphene,6937404.0,36,True,1,,
4,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2024-04-19 15:56:51,2024-04-19 15:56:50,1795,26.0,203,92,272,,,2332,2024-03-26 18:57:20,3.4.0,,1687899.0,14.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,88285.0,88285.0,52.0,https://pypi.org/project/motor,1687899.0,35,True,2,,
5,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2024-05-02 06:03:26,2024-04-29 13:37:24,1213,20.0,346,43,507,507.0,513.0,4251,2024-04-26 15:58:39,0.20.1,13.0,133842.0,100.0,"Familiar asyncio ORM for python, built with relations in mind.",7560.0,7560.0,133.0,https://pypi.org/project/tortoise-orm,133842.0,34,True,2,3.0,
6,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2024-04-12 04:44:54,2024-04-09 09:00:03,1833,74.0,178,39,656,29.0,275.0,2140,2024-03-18 10:27:12,0.23.0,,191168.0,43.0,Python library for implementing GraphQL servers using schema-first approach.,1580.0,1580.0,74.0,https://pypi.org/project/ariadne,191168.0,34,True,2,,
7,opentelemetry-instrumentation-fastapi,open-telemetry/opentelemetry-python-contrib,opentelemetry-instrumentation-fastapi,['observability'],restful-api-observability,https://github.com/open-telemetry/opentelemetry-python-contrib,https://github.com/open-telemetry/opentelemetry-python-contrib,Apache-2.0,2019-11-08 18:23:43,2024-05-02 17:57:14,2024-05-02 17:11:02,2000,131.0,488,16,1420,395.0,638.0,618,2024-03-28 19:31:45,0.45b0,,4064480.0,37.0,OpenTelemetry instrumentation for Python modules.,1402.0,1402.0,249.0,https://pypi.org/project/opentelemetry-instrumentation-fastapi,4064480.0,34,True,1,,
8,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2024-05-02 03:21:02,2024-05-02 03:19:30,1859,195.0,119,10,922,13.0,191.0,1020,2024-04-26 18:21:57,0.12.24,,483965.0,55.0,FastAPI pagination.,2220.0,2220.0,42.0,https://pypi.org/project/fastapi-pagination,483965.0,33,True,1,,
9,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2024-05-02 14:48:10,2024-05-02 14:46:44,745,26.0,350,41,562,6.0,255.0,4076,2024-03-11 13:30:38,13.0.0,188.0,97345.0,99.0,Ready-to-use and customizable users management for FastAPI.,3159.0,3159.0,65.0,https://pypi.org/project/fastapi-users,97342.0,32,True,1,,
10,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2024-05-02 11:03:13,2024-04-30 19:04:35,5631,110.0,1043,240,1624,,,4052,2024-04-30 17:32:18,4.7.1,,27881656.0,33.0,PyMongo - the Official MongoDB Python driver.,,,212.0,https://pypi.org/project/pymongo,27881656.0,32,True,3,,
11,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/BeanieODM/beanie,https://github.com/BeanieODM/beanie,Apache-2.0,2021-02-23 20:11:23,2024-05-02 11:48:21,2024-05-01 19:25:53,476,9.0,190,15,333,69.0,314.0,1808,2024-05-01 19:47:15,1.26.0,,194818.0,100.0,Asynchronous Python ODM for MongoDB.,2263.0,2263.0,78.0,https://pypi.org/project/beanie,194818.0,30,True,3,-1.0,BeanieODM/beanie
