,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,trending
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2024-11-21 12:36:50,2024-11-21 12:36:33,17239,133.0,1421,103,860,223.0,7710.0,9693,2024-10-15 19:41:54,rel_2_0_36,51323.0,153294029.0,100.0,The Database Toolkit for Python.,912877.0,912877.0,744.0,https://pypi.org/project/sqlalchemy,153292863.0,45,True,1,,
1,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2024-10-09 06:18:06,2024-10-09 06:18:06,4314,81.0,1159,136,1156,297.0,1412.0,4246,2024-09-19 08:33:36,0.29.1,,1557014.0,46.0,A Python Object-Document-Mapper for working with MongoDB.,25614.0,25614.0,399.0,https://pypi.org/project/mongoengine,1557014.0,40,True,1,,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2024-11-09 20:43:58,2024-11-09 20:43:17,1787,13.0,809,141,569,89.0,908.0,8097,2024-11-09 20:43:58,3.4.3,,12990858.0,63.0,GraphQL framework for Python.,24478.0,24478.0,210.0,https://pypi.org/project/graphene,12990858.0,38,True,1,,
3,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2024-11-18 17:57:13,2024-11-08 09:27:42,580,60.0,624,140,563,177.0,160.0,14632,2024-08-31 09:42:46,0.0.22,,2528307.0,21.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",17585.0,17585.0,81.0,https://pypi.org/project/sqlmodel,2528307.0,37,True,1,fastapi/sqlmodel,
4,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2024-11-21 18:01:53,2024-11-21 18:01:53,1313,30.0,388,50,595,493.0,604.0,4684,2024-11-19 23:27:43,0.22.0,16.0,259254.0,100.0,"Familiar asyncio ORM for python, built with relations in mind.",8701.0,8701.0,151.0,https://pypi.org/project/tortoise-orm,259254.0,35,True,2,,
5,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2024-11-20 17:55:12,2024-11-20 17:55:12,1838,11.0,201,91,308,,,2433,2024-09-18 23:23:42,3.5.3,33.0,3018514.0,19.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,104107.0,104107.0,54.0,https://pypi.org/project/motor,3018514.0,35,True,2,,
6,opentelemetry-instrumentation-fastapi,open-telemetry/opentelemetry-python-contrib,opentelemetry-instrumentation-fastapi,['observability'],restful-api-observability,https://github.com/open-telemetry/opentelemetry-python-contrib,https://github.com/open-telemetry/opentelemetry-python-contrib,Apache-2.0,2019-11-08 18:23:43,2024-11-21 16:52:23,2024-11-21 16:52:22,2258,90.0,605,23,1775,433.0,780.0,739,2024-11-18 18:40:34,0.49b2,,7249489.0,44.0,OpenTelemetry instrumentation for Python modules.,2323.0,2323.0,313.0,https://pypi.org/project/opentelemetry-instrumentation-fastapi,7249489.0,35,True,1,,
7,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2024-11-18 11:52:14,2024-11-18 11:51:39,766,18.0,382,46,582,10.0,267.0,4687,2024-11-03 13:22:10,14.0.0,305.0,157927.0,100.0,Ready-to-use and customizable users management for FastAPI.,4180.0,4180.0,69.0,https://pypi.org/project/fastapi-users,157922.0,33,True,1,,
8,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2024-11-20 21:14:40,2024-11-20 19:47:28,5987,217.0,1065,239,2011,,,4154,2024-10-02 23:57:07,4.9.2,509.0,37534520.0,41.0,PyMongo - the Official MongoDB Python driver.,,,219.0,https://pypi.org/project/pymongo,37534513.0,33,True,3,,
9,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2024-11-19 17:04:15,2024-11-19 17:04:15,1873,22.0,179,40,665,31.0,284.0,2225,2024-03-18 10:27:12,0.23.0,,445099.0,43.0,Python library for implementing GraphQL servers using schema-first approach.,1730.0,1730.0,78.0,https://pypi.org/project/ariadne,445099.0,33,True,2,,2.0
