,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,projectrank,show,projectrank_placing,pypi_monthly_downloads,trending,updated_github_id
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2024-12-03 19:03:40,2024-12-02 23:59:19,17243,107.0,1428,103,865,224.0,7716.0,9756,2024-10-15 19:41:54,rel_2_0_36,51333.0,1140.0,100.0,The Database Toolkit for Python.,923958.0,923958.0,744.0,https://pypi.org/project/sqlalchemy,40,True,1,,,
1,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2024-10-09 06:18:06,2024-10-09 06:18:06,4314,49.0,1159,136,1145,297.0,1406.0,4266,2024-09-19 08:33:36,0.29.1,,1656959.0,46.0,A Python Object-Document-Mapper for working with MongoDB.,25757.0,25757.0,398.0,https://pypi.org/project/mongoengine,40,True,1,1656959.0,,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2024-11-09 20:43:58,2024-11-09 20:43:17,1787,13.0,809,141,569,89.0,908.0,8107,2024-11-09 20:43:58,3.4.3,,12734289.0,63.0,GraphQL framework for Python.,24737.0,24737.0,210.0,https://pypi.org/project/graphene,39,True,1,12734289.0,1.0,
3,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2024-11-20 17:55:12,2024-11-20 17:55:12,1838,9.0,202,91,308,,,2439,2024-09-18 23:23:42,3.5.3,38.0,3224519.0,19.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,105379.0,105379.0,54.0,https://pypi.org/project/motor,34,True,2,3224519.0,,
4,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2024-12-05 03:16:54,2024-12-05 03:16:47,2237,171.0,137,13,1114,10.0,225.0,1215,2024-11-16 10:40:50,0.12.32,,839450.0,63.0,FastAPI pagination.,3052.0,3052.0,48.0,https://pypi.org/project/fastapi-pagination,33,True,1,839450.0,,
5,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2024-12-04 17:03:37,2024-12-04 17:03:36,586,44.0,629,138,572,176.0,161.0,14728,2024-08-31 09:42:46,0.0.22,,,21.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",18136.0,18136.0,81.0,https://pypi.org/project/sqlmodel,31,True,1,,-6.0,fastapi/sqlmodel
6,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/BeanieODM/beanie,https://github.com/BeanieODM/beanie,Apache-2.0,2021-02-23 20:11:23,2024-12-05 01:10:55,2024-12-04 12:47:08,538,29.0,217,18,398,80.0,358.0,2092,2024-10-07 17:49:00,1.27.0,,259373.0,100.0,Asynchronous Python ODM for MongoDB.,3108.0,3108.0,98.0,https://pypi.org/project/beanie,31,True,3,259373.0,,BeanieODM/beanie
7,sqladmin,aminalaee/sqladmin,sqladmin,[],admin-interface,https://github.com/aminalaee/sqladmin,https://github.com/aminalaee/sqladmin,BSD-3-Clause,2021-12-22 10:09:54,2024-11-04 08:50:50,2024-11-04 08:33:57,376,10.0,191,17,430,41.0,201.0,1947,2024-10-28 13:15:26,0.20.1,,119749.0,41.0,SQLAlchemy Admin for FastAPI and Starlette.,1211.0,1211.0,63.0,https://pypi.org/project/sqladmin,31,True,1,119749.0,,
8,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2024-12-03 11:29:39,2024-12-03 11:29:39,1322,38.0,389,49,606,490.0,615.0,4704,2024-11-25 10:04:22,0.22.1,18.0,0.0,100.0,"Familiar asyncio ORM for python, built with relations in mind.",8787.0,8787.0,151.0,https://pypi.org/project/tortoise-orm,29,True,2,,-6.0,
9,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2024-12-02 04:13:22,2024-11-18 11:51:39,766,18.0,385,46,586,11.0,267.0,4720,2024-11-03 13:22:10,14.0.0,318.0,5.0,100.0,Ready-to-use and customizable users management for FastAPI.,4235.0,4235.0,69.0,https://pypi.org/project/fastapi-users,28,True,1,,,
10,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2024-12-05 15:19:39,2024-12-04 23:19:48,3317,88.0,529,39,2566,389.0,646.0,4043,2024-12-03 23:25:39,0.253.1,565.0,794.0,100.0,A GraphQL library for Python that leverages type annotations.,,,266.0,https://pypi.org/project/strawberry,27,True,2,754.0,,
11,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2024-11-19 17:04:15,2024-11-19 17:04:15,1873,22.0,178,40,665,32.0,284.0,2228,2024-03-18 10:27:12,0.23.0,,,43.0,Python library for implementing GraphQL servers using schema-first approach.,1743.0,1743.0,78.0,https://pypi.org/project/ariadne,27,True,2,,,
12,SlowApi,laurentS/slowapi,slowapi,['rate-limiting'],restful-api-rate-limiting,https://github.com/laurentS/slowapi,https://github.com/laurentS/slowapi,MIT,2020-02-21 12:56:20,2024-12-05 07:24:32,2024-06-27 18:02:44,258,,80,14,117,34.0,62.0,1261,,,,666271.0,,A rate limiter for Starlette and FastAPI.,3394.0,3394.0,26.0,https://pypi.org/project/slowapi,26,True,1,666271.0,,
13,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2024-12-04 16:53:28,2024-12-04 16:53:27,6002,198.0,1069,239,2026,,,4166,2024-10-02 23:57:07,4.9.2,562.0,8.0,41.0,PyMongo - the Official MongoDB Python driver.,,,221.0,https://pypi.org/project/pymongo,25,True,3,,-8.0,
14,piccolo,piccolo-orm/piccolo,piccolo,[],database-orms,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26,2024-12-01 17:20:10,2024-11-07 05:04:51,1852,31.0,89,16,517,123.0,308.0,1460,2024-10-23 21:43:51,1.22.0,,,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",416.0,416.0,46.0,https://pypi.org/project/piccolo,25,True,2,,,
15,fastapi-admin,fastapi-admin/fastapi-admin,fastapi-admin,[],admin-interface,https://github.com/fastapi-admin/fastapi-admin,https://github.com/fastapi-admin/fastapi-admin,Apache-2.0,2020-04-06 05:09:44,2024-09-05 09:32:46,2024-09-05 09:32:46,395,,375,40,48,51.0,71.0,2938,2021-08-31 03:28:51,1.0.3,,7558.0,16.0,"A fast admin dashboard based on FastAPI and TortoiseORM with tabler ui, inspired by Django admin.",409.0,409.0,16.0,https://pypi.org/project/fastapi-admin,24,True,3,7558.0,,
16,ormar,collerek/ormar,ormar,[],database-orms,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2024-12-05 11:47:21,2024-12-05 11:46:37,1406,8.0,87,17,885,67.0,199.0,1681,2024-06-09 16:24:10,0.20.1,,,79.0,python async orm with fastapi in mind and pydantic validation.,1052.0,1052.0,41.0,https://pypi.org/project/ormar,24,True,3,,,
17,odmantic,art049/odmantic,odmantic,[],database-odms,https://github.com/art049/odmantic,https://github.com/art049/odmantic,ISC,2020-05-01 13:59:45,2024-07-10 15:21:14,2024-04-26 23:27:23,559,,89,19,309,83.0,90.0,1074,2024-04-26 23:28:12,1.0.2,,34315.0,21.0,Sync and Async ODM (Object Document Mapper) for MongoDB based on python type hints.,3413.0,3413.0,19.0,https://pypi.org/project/odmantic,23,True,3,34315.0,,
18,opentelemetry-instrumentation-fastapi,open-telemetry/opentelemetry-python-contrib,opentelemetry-instrumentation-fastapi,['observability'],restful-api-observability,https://github.com/open-telemetry/opentelemetry-python-contrib,https://github.com/open-telemetry/opentelemetry-python-contrib,Apache-2.0,2019-11-08 18:23:43,2024-12-05 12:53:22,2024-12-05 12:53:21,2276,89.0,609,23,1795,441.0,785.0,741,2024-11-18 18:40:34,0.49b2,,,44.0,OpenTelemetry instrumentation for Python modules.,1.0,1.0,316.0,https://pypi.org/project/opentelemetry-instrumentation-fastapi,23,True,1,,-7.0,
19,authx,yezz123/AuthX,authx,['authentication'],restful-api-authentication,https://github.com/yezz123/authx,https://github.com/yezz123/authx,MIT,2021-08-23 16:18:04,2024-12-03 11:31:13,2024-12-03 11:31:12,1241,90.0,49,17,623,6.0,49.0,830,2024-10-20 13:10:57,1.4.0,,,42.0,Ready-to-use and customizable Authentications and Oauth2 management for FastAPI.,37.0,37.0,17.0,https://pypi.org/project/authx,21,True,2,,,
20,piccolo-admin,piccolo-orm/piccolo_admin,piccolo-admin,[],admin-interface,https://github.com/piccolo-orm/piccolo_admin,https://github.com/piccolo-orm/piccolo_admin,MIT,2019-06-25 19:24:31,2024-11-15 06:29:34,2024-11-15 06:29:34,725,18.0,38,7,230,39.0,128.0,323,2024-10-16 22:18:53,1.9.0,,8246.0,59.0,A powerful web admin for your database.,,,18.0,https://pypi.org/project/piccolo-admin,21,True,3,8246.0,,
21,gino,python-gino/gino,gino,[],database-orms,https://github.com/python-gino/gino,https://github.com/python-gino/gino,,2017-07-21 04:27:01,2022-02-12 20:35:18,2022-02-12 20:29:45,1128,,148,47,472,45.0,263.0,2683,,,,,,GINO Is Not ORM - a Python asyncio ORM on SQLAlchemy core.,2460.0,2460.0,45.0,https://pypi.org/project/gino,20,True,3,,,
22,prometheus-fastapi-instrumentator,trallnag/prometheus-fastapi-instrumentator,prometheus-fastapi-instrumentator,['observability'],restful-api-observability,https://github.com/trallnag/prometheus-fastapi-instrumentator,https://github.com/trallnag/prometheus-fastapi-instrumentator,ISC,2020-07-09 10:57:52,2024-06-17 23:01:32,2024-03-13 16:40:51,436,,82,4,213,37.0,61.0,987,2024-03-13 16:39:15,7.0.0,,,12.0,Instrument your FastAPI with Prometheus metrics.,2947.0,2947.0,28.0,https://pypi.org/project/prometheus-fastapi-instrumentator,20,True,3,,,
23,tartiflette,tartiflette/tartiflette,tartiflette,[],graphql-api,https://github.com/tartiflette/tartiflette,https://github.com/tartiflette/tartiflette,MIT,2018-01-26 09:56:10,2023-09-11 07:49:27,2022-01-20 14:55:31,1149,,37,22,491,12.0,131.0,857,2021-11-15 11:05:03,1.4.1,,6142.0,44.0,GraphQL Engine built with Python 3.6+ / asyncio.,,,27.0,https://pypi.org/project/tartiflette,20,True,3,6142.0,,
24,FastCRUD,igorbenav/fastcrud,,[],crud,https://github.com/igorbenav/fastcrud,https://github.com/igorbenav/fastcrud,MIT,2024-01-08 04:04:17,2024-10-21 19:08:36,2024-10-21 19:08:36,469,36.0,58,8,96,26.0,50.0,698,2024-09-19 01:55:04,0.15.1,,,22.0,"FastCRUD is a Python package for FastAPI, offering robust async CRUD operations and flexible endpoint creation..",118.0,118.0,13.0,,20,True,1,,,
25,fastapi-azure-auth,Intility/fastapi-azure-auth,fastapi-azure-auth,['authentication'],restful-api-authentication,https://github.com/intility/fastapi-azure-auth,https://github.com/intility/fastapi-azure-auth,MIT,2021-08-10 19:46:24,2024-12-01 08:46:15,2024-11-03 18:11:33,339,5.0,68,13,116,1.0,100.0,473,2024-08-20 09:26:23,5.0.1,,,31.0,"Easy and secure implementation of Azure Entra ID (previously AD) for your FastAPI APIs B2C, single- and multi-tenant..",95.0,95.0,28.0,https://pypi.org/project/fastapi-azure-auth,20,True,2,,,
26,orm,encode/orm,orm,[],database-orms,https://github.com/encode/orm,https://github.com/encode/orm,BSD-3-Clause,2019-02-12 16:51:31,2022-08-30 10:12:31,2022-08-30 10:12:30,125,,95,42,78,17.0,64.0,1785,2021-11-29 09:20:38,0.3.1,,,8.0,An async ORM.,539.0,539.0,18.0,https://pypi.org/project/orm,19,True,3,,,
27,fastapi-login,MushroomMaula/fastapi_login,fastapi-login,['authentication'],restful-api-authentication,https://github.com/MushroomMaula/fastapi_login,https://github.com/MushroomMaula/fastapi_login,MIT,2019-10-21 14:47:00,2024-12-02 22:25:34,2024-09-18 16:21:40,476,2.0,58,11,88,,58.0,647,2024-09-18 16:09:00,1.10.2,8.0,0.0,24.0,FastAPI-Login tries to provide similar functionality as Flask-Login does.,1006.0,1006.0,14.0,https://pypi.org/project/fastapi-login,19,True,2,,,
28,prisma,RobertCraigie/prisma-client-py,prisma,[],database-orms,https://github.com/RobertCraigie/prisma-client-py,https://github.com/RobertCraigie/prisma-client-py,Apache-2.0,2020-12-16 04:29:28,2024-12-04 16:14:33,2024-11-26 09:20:02,930,1.0,80,16,561,197.0,203.0,1903,2024-08-16 02:54:35,0.15.0,,,37.0,Prisma Client Python is an auto-generated and fully type-safe database client designed for ease of use.,,,31.0,https://pypi.org/project/prisma,18,True,3,,-7.0,
