,name,github_id,pypi_id,labels,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads
0,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2025-03-18 22:17:22,2025-03-18 07:23:16,638.0,46.0,665.0,135.0,621.0,176.0,163.0,15440.0,2025-03-07 05:43:05,0.0.24,23.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",22840.0,22840.0,87.0,https://pypi.org/project/sqlmodel,3823064.0,3823064.0,38,True,1,1.0,
1,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,,MIT,2015-09-24 09:18:18,2024-11-09 20:43:58,2024-11-09 20:43:17,1787.0,,808.0,140.0,571.0,91.0,910.0,8155.0,2024-11-09 20:43:58,3.4.3,63.0,GraphQL framework for Python.,26707.0,26707.0,211.0,https://pypi.org/project/graphene,12358724.0,12358724.0,37,True,1,,
2,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,,Apache-2.0,2018-03-29 16:52:10,2025-03-12 11:42:17,2025-03-12 11:42:17,1376.0,44.0,410.0,44.0,676.0,472.0,674.0,4898.0,2025-03-03 15:16:15,0.24.2,100.0,"Familiar asyncio ORM for python, built with relations in mind.",9455.0,9455.0,154.0,https://pypi.org/project/tortoise-orm,247571.0,247571.0,36,True,1,,18.0
3,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,,MIT,2012-03-05 12:10:20,2024-10-09 06:18:06,2024-10-09 06:18:06,4314.0,,1164.0,135.0,1148.0,304.0,1406.0,4299.0,2024-09-19 08:33:36,0.29.1,46.0,A Python Object-Document-Mapper for working with MongoDB.,26664.0,26664.0,398.0,https://pypi.org/project/mongoengine,1382143.0,1382143.0,36,True,1,,
4,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,,Apache-2.0,2013-01-11 21:34:44,2025-03-05 19:42:03,2025-03-05 19:42:02,1857.0,19.0,205.0,86.0,324.0,,,2476.0,2025-01-29 21:14:45,3.7.0,21.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,115199.0,115199.0,57.0,https://pypi.org/project/motor,3976138.0,3976138.0,36,True,1,,60.0
5,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,,BSD-3-Clause,2018-07-09 09:46:17,2025-03-05 08:37:30,2025-03-05 08:37:30,1991.0,100.0,186.0,39.0,685.0,33.0,288.0,2256.0,2025-02-19 15:03:04,0.26.1,50.0,Python library for implementing GraphQL servers using schema-first approach.,1838.0,1838.0,84.0,https://pypi.org/project/ariadne,726989.0,726989.0,35,True,2,,35.0
6,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,,MIT,2019-10-05 15:40:31,2025-01-04 13:18:26,2025-01-04 13:16:19,769.0,3.0,405.0,48.0,592.0,13.0,267.0,4973.0,2025-01-04 13:31:56,14.0.1,100.0,Ready-to-use and customizable users management for FastAPI.,4695.0,4695.0,69.0,https://pypi.org/project/fastapi-users,215503.0,215508.0,32,True,1,,347.0
7,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,,Apache-2.0,2009-01-15 15:18:06,2025-03-20 01:53:35,2025-03-20 01:53:35,6166.0,161.0,1074.0,236.0,2207.0,,,4195.0,2025-03-18 13:58:20,4.11.3,45.0,PyMongo - the Official MongoDB Python driver.,,,222.0,https://pypi.org/project/pymongo,41215770.0,41215793.0,32,True,3,,1596.0
8,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,,MIT,2020-11-06 18:05:12,2025-03-19 03:52:59,2025-03-18 21:03:48,2459.0,186.0,143.0,13.0,1225.0,11.0,234.0,1300.0,2025-02-02 15:11:19,0.13.0a1,66.0,FastAPI pagination.,3665.0,3665.0,51.0,https://pypi.org/project/fastapi-pagination,929752.0,929752.0,32,True,1,,
9,prometheus-fastapi-instrumentator,trallnag/prometheus-fastapi-instrumentator,prometheus-fastapi-instrumentator,['observability'],restful-api-observability,https://github.com/trallnag/prometheus-fastapi-instrumentator,https://github.com/trallnag/prometheus-fastapi-instrumentator,,ISC,2020-07-09 10:57:52,2025-03-19 19:34:50,2025-03-19 19:32:47,448.0,12.0,87.0,4.0,217.0,38.0,62.0,1078.0,2025-03-19 19:38:47,7.1.0,14.0,Instrument your FastAPI with Prometheus metrics.,4147.0,4147.0,29.0,https://pypi.org/project/prometheus-fastapi-instrumentator,3349563.0,3349563.0,31,True,1,1.0,
