,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending,updated_github_id,new_addition
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2025-03-20 01:42:09,2025-03-20 01:41:54,17398,125.0,1474,100,906,209.0,7795.0,10220,2025-03-11 18:27:18,rel_2_0_39,55044.0,156552310.0,100.0,The Database Toolkit for Python.,1026293.0,1026293.0,763.0,https://pypi.org/project/sqlalchemy,156551164.0,45,True,1,37.0,,
1,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2025-03-24 17:27:30,2025-03-18 07:23:16,638,38.0,665,135,622,176.0,163.0,15467,2025-03-07 05:43:05,0.0.24,,3909000.0,23.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",23114.0,23114.0,87.0,https://pypi.org/project/sqlmodel,3909000.0,37,True,1,-1.0,fastapi/sqlmodel,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2024-11-09 20:43:58,2024-11-09 20:43:17,1787,,806,140,571,91.0,910.0,8156,2024-11-09 20:43:58,3.4.3,,12684862.0,63.0,GraphQL framework for Python.,26826.0,26826.0,211.0,https://pypi.org/project/graphene,12684862.0,37,True,1,,,
3,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2025-03-25 04:01:05,2025-03-25 04:01:04,1377,44.0,411,44,678,472.0,676.0,4913,2025-03-03 15:16:15,0.24.2,18.0,250829.0,100.0,"Familiar asyncio ORM for python, built with relations in mind.",9492.0,9492.0,154.0,https://pypi.org/project/tortoise-orm,250829.0,36,True,2,,,
4,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2024-10-09 06:18:06,2024-10-09 06:18:06,4314,,1164,135,1148,304.0,1406.0,4304,2024-09-19 08:33:36,0.29.1,,1390968.0,46.0,A Python Object-Document-Mapper for working with MongoDB.,26726.0,26726.0,398.0,https://pypi.org/project/mongoengine,1390968.0,36,True,1,,,
5,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2025-03-05 19:42:03,2025-03-05 19:42:02,1857,19.0,205,86,324,,,2475,2025-01-29 21:14:45,3.7.0,60.0,4156846.0,21.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,115728.0,115728.0,57.0,https://pypi.org/project/motor,4156846.0,36,True,1,,,
6,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2025-03-05 08:37:30,2025-03-05 08:37:30,1991,100.0,186,39,685,33.0,288.0,2256,2025-02-19 15:03:04,0.26.1,35.0,761500.0,50.0,Python library for implementing GraphQL servers using schema-first approach.,1844.0,1844.0,84.0,https://pypi.org/project/ariadne,761500.0,35,True,2,,,
7,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2025-01-04 13:18:26,2025-01-04 13:16:19,769,3.0,405,48,592,13.0,267.0,4990,2025-01-04 13:31:56,14.0.1,349.0,212632.0,100.0,Ready-to-use and customizable users management for FastAPI.,4746.0,4746.0,69.0,https://pypi.org/project/fastapi-users,212627.0,32,True,1,,,
8,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2025-03-25 17:53:24,2025-03-25 17:53:23,6176,171.0,1073,235,2222,,,4198,2025-03-18 13:58:20,4.11.3,1658.0,41734633.0,45.0,PyMongo - the Official MongoDB Python driver.,,,222.0,https://pypi.org/project/pymongo,41734609.0,32,True,3,,,
9,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2025-03-24 03:40:01,2025-03-24 03:39:53,2474,177.0,143,13,1231,11.0,234.0,1304,2025-03-22 10:23:07,0.13.0a2,,998104.0,67.0,FastAPI pagination.,3702.0,3702.0,51.0,https://pypi.org/project/fastapi-pagination,998104.0,32,True,1,,,
10,prometheus-fastapi-instrumentator,trallnag/prometheus-fastapi-instrumentator,prometheus-fastapi-instrumentator,['observability'],restful-api-observability,https://github.com/trallnag/prometheus-fastapi-instrumentator,https://github.com/trallnag/prometheus-fastapi-instrumentator,ISC,2020-07-09 10:57:52,2025-03-19 19:34:50,2025-03-19 19:32:47,448,12.0,87,4,217,38.0,62.0,1084,2025-03-19 19:38:47,7.1.0,,3551546.0,14.0,Instrument your FastAPI with Prometheus metrics.,4233.0,4233.0,29.0,https://pypi.org/project/prometheus-fastapi-instrumentator,3551546.0,31,True,1,,,
