,name,github_id,pypi_id,labels,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending
0,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2025-06-24 12:21:43,2025-06-24 12:20:02,708.0,70.0,695.0,138.0,678.0,176.0,164.0,16225.0,2025-03-07 05:43:05,0.0.24,23.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",28368.0,28368.0,92.0,https://pypi.org/project/sqlmodel,4058065.0,4058065.0,38,True,1,,
1,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,,MIT,2012-03-05 12:10:20,2025-04-09 22:28:04,2025-04-09 22:28:03,4343.0,8.0,1161.0,135.0,1156.0,304.0,1409.0,4327.0,2024-09-19 08:33:36,0.29.1,46.0,A Python Object-Document-Mapper for working with MongoDB.,27665.0,27665.0,399.0,https://pypi.org/project/mongoengine,1274807.0,1274807.0,37,True,1,,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,,MIT,2015-09-24 09:18:18,2024-11-09 20:43:58,2024-11-09 20:43:17,1787.0,,803.0,142.0,571.0,91.0,911.0,8200.0,2024-11-09 20:43:58,3.4.3,63.0,GraphQL framework for Python.,29001.0,29001.0,211.0,https://pypi.org/project/graphene,20451715.0,20451715.0,36,True,1,,
3,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,,Apache-2.0,2013-01-11 21:34:44,2025-06-26 14:08:37,2025-06-26 14:08:37,1868.0,11.0,205.0,86.0,334.0,,,2493.0,2025-05-14 19:00:46,3.7.1,22.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,125745.0,125745.0,57.0,https://pypi.org/project/motor,5310206.0,5310207.0,36,True,2,73.0,
4,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,,Apache-2.0,2018-03-29 16:52:10,2025-06-19 05:43:09,2025-06-06 14:16:02,1391.0,13.0,426.0,46.0,700.0,457.0,720.0,5157.0,2025-06-05 10:42:46,0.25.1,100.0,"Familiar asyncio ORM for python, built with relations in mind.",10202.0,10202.0,159.0,https://pypi.org/project/tortoise-orm,250051.0,250051.0,35,True,1,18.0,
5,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,,MIT,2020-11-06 18:05:12,2025-06-25 21:22:39,2025-06-25 21:22:29,2543.0,67.0,147.0,13.0,1266.0,9.0,245.0,1371.0,2025-06-25 21:21:56,0.13.3,72.0,FastAPI pagination.,4272.0,4272.0,52.0,https://pypi.org/project/fastapi-pagination,1292864.0,1292864.0,34,True,1,,
6,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/BeanieODM/beanie,https://github.com/BeanieODM/beanie,BeanieODM/beanie,Apache-2.0,2021-02-23 20:11:23,2025-06-26 12:59:24,2025-06-26 12:59:24,566.0,16.0,250.0,18.0,452.0,91.0,385.0,2352.0,2025-06-10 19:53:01,1.30.0,100.0,Asynchronous Python ODM for MongoDB.,4297.0,4297.0,114.0,https://pypi.org/project/beanie,858700.0,858700.0,33,True,3,,
7,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,,BSD-3-Clause,2018-07-09 09:46:17,2025-04-18 07:41:34,2025-04-18 07:38:22,1998.0,7.0,186.0,39.0,686.0,37.0,288.0,2275.0,2025-04-18 08:27:47,0.26.2,51.0,Python library for implementing GraphQL servers using schema-first approach.,1978.0,1978.0,84.0,https://pypi.org/project/ariadne,691813.0,691813.0,33,True,2,54.0,
8,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,,MIT,2019-10-05 15:40:31,2025-05-14 04:58:51,2025-01-04 13:16:19,769.0,,440.0,49.0,595.0,14.0,268.0,5319.0,2025-01-04 13:31:56,14.0.1,100.0,Ready-to-use and customizable users management for FastAPI.,5328.0,5328.0,68.0,https://pypi.org/project/fastapi-users,339820.0,339826.0,32,True,1,410.0,
9,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,,Apache-2.0,2009-01-15 15:18:06,2025-06-25 19:26:51,2025-06-24 16:34:53,6318.0,125.0,1083.0,235.0,2406.0,,,4232.0,2025-06-16 18:44:27,4.13.2,50.0,PyMongo - the Official MongoDB Python driver.,,,224.0,https://pypi.org/project/pymongo,48156869.0,48156934.0,32,True,3,4714.0,
10,prometheus-fastapi-instrumentator,trallnag/prometheus-fastapi-instrumentator,prometheus-fastapi-instrumentator,['observability'],restful-api-observability,https://github.com/trallnag/prometheus-fastapi-instrumentator,https://github.com/trallnag/prometheus-fastapi-instrumentator,,ISC,2020-07-09 10:57:52,2025-03-19 19:34:50,2025-03-19 19:32:47,448.0,,95.0,4.0,221.0,40.0,63.0,1161.0,2025-03-19 19:38:47,7.1.0,14.0,Instrument your FastAPI with Prometheus metrics.,6059.0,6059.0,29.0,https://pypi.org/project/prometheus-fastapi-instrumentator,3725374.0,3725374.0,30,True,1,,
11,opentelemetry-instrumentation-fastapi,open-telemetry/opentelemetry-python-contrib,opentelemetry-instrumentation-fastapi,['observability'],restful-api-observability,https://github.com/open-telemetry/opentelemetry-python-contrib,https://github.com/open-telemetry/opentelemetry-python-contrib,,Apache-2.0,2019-11-08 18:23:43,2025-06-26 10:01:54,2025-06-26 10:01:51,2538.0,98.0,719.0,22.0,2154.0,514.0,862.0,858.0,2025-06-10 08:58:54,0.55b1,59.0,OpenTelemetry instrumentation for Python modules.,,,362.0,https://pypi.org/project/opentelemetry-instrumentation-fastapi,17679060.0,17679060.0,30,True,1,,
