,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,github_release_downloads,trending
0,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2025-09-02 20:46:15,2025-09-02 20:46:15,4355.0,11.0,1166.0,136.0,1164.0,303.0,1411.0,4336.0,2024-09-19 08:33:36,0.29.1,46.0,A Python Object-Document-Mapper for working with MongoDB.,27744.0,27744.0,401.0,https://pypi.org/project/mongoengine,1790827.0,1790827.0,38,True,1,,,
1,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2025-09-10 22:02:35,2025-09-08 07:37:51,764.0,66.0,718.0,138.0,725.0,62.0,280.0,16742.0,2025-03-07 05:43:05,0.0.24,23.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",28978.0,28978.0,94.0,https://pypi.org/project/sqlmodel,5669529.0,5669529.0,37,True,1,fastapi/sqlmodel,,
2,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2025-09-04 15:43:44,2024-11-09 20:43:17,1787.0,,803.0,143.0,572.0,91.0,911.0,8209.0,2024-11-09 20:43:58,3.4.3,63.0,GraphQL framework for Python.,29313.0,29313.0,211.0,https://pypi.org/project/graphene,23434142.0,23434142.0,37,True,1,,,
3,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2025-08-15 18:19:59,2025-08-15 18:19:58,1874.0,7.0,209.0,86.0,340.0,,,2509.0,2025-05-14 19:00:46,3.7.1,22.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,126378.0,126378.0,57.0,https://pypi.org/project/motor,8585995.0,8585996.0,35,True,2,,73.0,
4,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2025-08-27 04:27:55,2025-08-27 04:27:01,1398.0,7.0,435.0,45.0,713.0,465.0,726.0,5281.0,2025-06-05 10:42:46,0.25.1,100.0,"Familiar asyncio ORM for python, built with relations in mind.",10278.0,10278.0,160.0,https://pypi.org/project/tortoise-orm,311549.0,311549.0,34,True,1,,18.0,
5,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2025-07-15 11:19:23,2025-07-15 11:19:23,2010.0,12.0,185.0,39.0,686.0,38.0,288.0,2293.0,2025-04-18 08:27:47,0.26.2,51.0,Python library for implementing GraphQL servers using schema-first approach.,1996.0,1996.0,85.0,https://pypi.org/project/ariadne,890116.0,890116.0,34,True,2,,57.0,
6,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/BeanieODM/beanie,https://github.com/BeanieODM/beanie,Apache-2.0,2021-02-23 20:11:23,2025-09-08 19:32:28,2025-08-30 10:50:03,575.0,10.0,257.0,18.0,461.0,90.0,400.0,2435.0,2025-07-20 07:17:27,2.0.0,100.0,Asynchronous Python ODM for MongoDB.,4385.0,4385.0,119.0,https://pypi.org/project/beanie,2240663.0,2240663.0,33,True,3,BeanieODM/beanie,,
7,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2025-09-08 10:42:33,2025-01-04 13:16:19,769.0,,462.0,49.0,602.0,16.0,270.0,5546.0,2025-01-04 13:31:56,14.0.1,100.0,Ready-to-use and customizable users management for FastAPI.,5392.0,5392.0,69.0,https://pypi.org/project/fastapi-users,476304.0,476310.0,32,True,1,,426.0,
8,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2025-09-11 10:33:21,2025-09-10 21:38:55,6413.0,101.0,1090.0,234.0,2524.0,,,4270.0,2025-09-10 17:19:27,4.15.0,53.0,PyMongo - the Official MongoDB Python driver.,,,227.0,https://pypi.org/project/pymongo,60256305.0,60256375.0,32,True,3,,5319.0,
9,sqladmin,aminalaee/sqladmin,sqladmin,[],admin-interface,https://github.com/aminalaee/sqladmin,https://github.com/aminalaee/sqladmin,BSD-3-Clause,2021-12-22 10:09:54,2025-07-02 09:41:24,2025-07-02 09:34:57,389.0,6.0,238.0,17.0,468.0,70.0,208.0,2337.0,2025-07-02 09:40:46,0.21.0,42.0,SQLAlchemy Admin for FastAPI and Starlette.,1737.0,1737.0,74.0,https://pypi.org/project/sqladmin,427179.0,427179.0,30,True,1,,,
