,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,trending,new_addition
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03,2026-05-20 21:02:50,2026-05-20 21:02:33,18065,115.0,1670,107,1092,191.0,8025.0,11872,2026-04-03 16:38:18,rel_2_0_49,7012.0,363698296.0,100.0,The Database Toolkit for Python.,1185482.0,1185482.0,838.0,https://pypi.org/project/sqlalchemy,363698180.0,46,True,1,,,
1,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2026-05-21 05:06:48,2026-05-21 05:06:47,1224,195.0,807,130,1028,1.0,347.0,17963,2026-04-02 21:03:42,0.0.38,,16472276.0,37.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",31584.0,31584.0,112.0,https://pypi.org/project/sqlmodel,16472276.0,40,True,1,fastapi/sqlmodel,,
2,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,https://github.com/MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,MIT,2012-03-05 12:10:20,2026-03-10 15:14:11,2025-09-02 20:46:15,4355,,1161,132,1179,306.0,1420.0,4350,2026-03-10 15:14:11,0.29.3,,2342683.0,48.0,A Python Object-Document-Mapper for working with MongoDB.,27999.0,27999.0,402.0,https://pypi.org/project/mongoengine,2342683.0,38,True,1,,,
3,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2025-09-04 15:43:44,2024-11-09 20:43:17,1787,,802,140,577,92.0,912.0,8242,2024-11-09 20:43:58,3.4.3,,35596128.0,63.0,GraphQL framework for Python.,31079.0,31079.0,211.0,https://pypi.org/project/graphene,35596128.0,37,True,1,,,
4,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,https://github.com/uriyyo/fastapi-pagination,https://github.com/uriyyo/fastapi-pagination,MIT,2020-11-06 18:05:12,2026-05-21 03:16:03,2026-05-21 03:15:55,3118,202.0,160,13,1578,4.0,277.0,1657,2026-05-19 13:49:24,0.15.13,,3776048.0,91.0,FastAPI pagination.,4629.0,4629.0,61.0,https://pypi.org/project/fastapi-pagination,3776048.0,37,True,1,,,
5,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10,2026-05-20 14:48:50,2026-05-20 14:48:47,1498,39.0,478,41,836,467.0,789.0,5571,2026-03-21 20:03:05,1.1.7,18.0,567962.0,100.0,"Familiar asyncio ORM for python, built with relations in mind.",10542.0,10542.0,173.0,https://pypi.org/project/tortoise-orm,567962.0,36,True,2,,,
6,ariadne,mirumee/ariadne,ariadne,[],graphql-api,https://github.com/mirumee/ariadne,https://github.com/mirumee/ariadne,BSD-3-Clause,2018-07-09 09:46:17,2026-05-18 13:31:24,2026-05-18 13:31:23,2361,168.0,192,38,746,29.0,307.0,2342,2026-04-03 10:46:34,1.0.1,294.0,3046724.0,64.0,Python library for implementing GraphQL servers using schema-first approach. Created with by Mirumee.,2046.0,2046.0,88.0,https://pypi.org/project/ariadne,3046721.0,35,True,2,,-2.0,
7,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,https://github.com/fastapi-users/fastapi-users,https://github.com/fastapi-users/fastapi-users,MIT,2019-10-05 15:40:31,2026-03-30 11:30:36,2026-03-27 08:58:32,817,3.0,494,53,620,4.0,292.0,6139,2026-03-27 09:01:35,15.0.5,518.0,1984649.0,100.0,Ready-to-use and customizable users management for FastAPI.,5678.0,5678.0,78.0,https://pypi.org/project/fastapi-users,1984643.0,33,True,1,,,
8,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2026-05-19 17:06:14,2026-05-19 17:06:11,3944,181.0,631,40,3108,377.0,799.0,4656,2026-05-19 17:06:20,0.316.0,772.0,756.0,100.0,A GraphQL library for Python that leverages type annotations.,5743.0,5743.0,321.0,https://pypi.org/project/strawberry,679.0,33,True,3,,-1.0,
9,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06,2026-05-21 18:40:02,2026-05-21 18:03:13,6595,50.0,1109,228,2806,,,4346,2026-04-20 16:45:35,4.17.0,4928.0,101606062.0,60.0,PyMongo - the Official MongoDB Python driver.,,,239.0,https://pypi.org/project/pymongo,101606003.0,33,True,2,,,
10,beanie,roman-right/beanie,beanie,[],database-odms,https://github.com/BeanieODM/beanie,https://github.com/BeanieODM/beanie,Apache-2.0,2021-02-23 20:11:23,2026-05-18 20:04:20,2026-03-29 11:57:21,626,39.0,287,19,527,71.0,440.0,2677,2026-03-27 03:54:07,2.1.0,,2178264.0,100.0,Asynchronous Python ODM for MongoDB.,4606.0,4606.0,130.0,https://pypi.org/project/beanie,2178264.0,33,True,2,BeanieODM/beanie,-1.0,
11,motor,mongodb/motor,motor,[],database-odms,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44,2026-05-11 16:04:00,2026-04-27 23:44:47,1903,2.0,210,82,380,,,2526,2025-05-14 19:00:46,3.7.1,164.0,10289224.0,22.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,128710.0,128710.0,60.0,https://pypi.org/project/motor,10289222.0,33,True,2,,-1.0,
12,sqladmin,aminalaee/sqladmin,sqladmin,[],admin-interface,https://github.com/smithyhq/sqladmin,https://github.com/smithyhq/sqladmin,BSD-3-Clause,2021-12-22 10:09:54,2026-05-18 09:48:45,2026-05-18 09:48:40,444,32.0,278,14,532,63.0,244.0,2729,2026-05-18 09:44:40,0.26.0,,844294.0,48.0,SQLAlchemy Admin for FastAPI and Starlette.,1861.0,1861.0,95.0,https://pypi.org/project/sqladmin,844294.0,32,True,1,smithyhq/sqladmin,,
13,ormar,collerek/ormar,ormar,[],database-orms,https://github.com/ormar-orm/ormar,https://github.com/ormar-orm/ormar,MIT,2020-08-02 06:34:03,2026-05-20 12:15:13,2026-05-20 12:12:23,1636,125.0,95,15,1153,34.0,242.0,1810,2026-05-07 10:54:29,0.25.0,,139446.0,86.0,python async orm with fastapi in mind and pydantic validation.,1108.0,1108.0,55.0,https://pypi.org/project/ormar,139446.0,32,True,2,ormar-orm/ormar,,
14,opentelemetry-instrumentation-fastapi,open-telemetry/opentelemetry-python-contrib,opentelemetry-instrumentation-fastapi,['observability'],restful-api-observability,https://github.com/open-telemetry/opentelemetry-python-contrib,https://github.com/open-telemetry/opentelemetry-python-contrib,Apache-2.0,2019-11-08 18:23:43,2026-05-21 16:36:58,2026-05-20 20:33:06,3010,185.0,939,22,2913,537.0,1057.0,1048,2026-05-21 16:36:58,0.63b1,,67803324.0,88.0,OpenTelemetry instrumentation for Python modules.,,,462.0,https://pypi.org/project/opentelemetry-instrumentation-fastapi,67803324.0,31,True,1,,,
15,piccolo,piccolo-orm/piccolo,piccolo,[],database-orms,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26,2026-05-21 17:26:32,2026-05-21 17:26:32,1967,21.0,104,16,612,21.0,508.0,1906,2026-05-11 23:01:33,1.34.0,,248133.0,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",529.0,529.0,53.0,https://pypi.org/project/piccolo,248133.0,30,True,3,,,
16,prometheus-fastapi-instrumentator,trallnag/prometheus-fastapi-instrumentator,prometheus-fastapi-instrumentator,['observability'],restful-api-observability,https://github.com/trallnag/prometheus-fastapi-instrumentator,https://github.com/trallnag/prometheus-fastapi-instrumentator,ISC,2020-07-09 10:57:52,2026-05-19 18:36:40,2025-09-07 16:02:38,454,,113,5,239,43.0,64.0,1454,2025-03-19 19:38:47,7.1.0,,13096350.0,14.0,Instrument your FastAPI with Prometheus metrics.,8116.0,8116.0,30.0,https://pypi.org/project/prometheus-fastapi-instrumentator,13096350.0,30,True,3,,1.0,
17,authx,yezz123/AuthX,authx,['authentication'],restful-api-authentication,https://github.com/yezz123/authx,https://github.com/yezz123/authx,MIT,2021-08-23 16:18:04,2026-05-20 20:25:33,2026-05-20 20:25:30,1563,127.0,61,15,757,,71.0,1172,2026-04-30 11:34:09,1.6.0,,50359.0,49.0,Ready-to-use and customizable Authentications and Oauth2 management for FastAPI.,247.0,247.0,24.0,https://pypi.org/project/authx,50359.0,29,True,2,,,
18,SlowApi,laurentS/slowapi,slowapi,['rate-limiting'],restful-api-rate-limiting,https://github.com/laurentS/slowapi,https://github.com/laurentS/slowapi,MIT,2020-02-21 12:56:20,2026-05-19 18:57:29,2025-08-08 15:15:46,261,,117,15,138,54.0,64.0,1989,,,,16403321.0,,A rate limiter for Starlette and FastAPI.,10593.0,10593.0,26.0,https://pypi.org/project/slowapi,16403321.0,28,True,1,,,
19,odmantic,art049/odmantic,odmantic,[],database-odms,https://github.com/art049/odmantic,https://github.com/art049/odmantic,ISC,2020-05-01 13:59:45,2026-05-19 21:43:53,2026-01-25 11:23:24,601,,89,17,352,86.0,91.0,1168,2026-01-24 18:02:42,1.1.0,,74624.0,23.0,Sync and Async ODM (Object Document Mapper) for MongoDB based on python type hints.,3597.0,3597.0,22.0,https://pypi.org/project/odmantic,74624.0,28,True,3,,,
20,Dapr SDK for Python,dapr/python-sdk,dapr-ext-fastapi,[],dappfs,https://github.com/dapr/python-sdk,https://github.com/dapr/python-sdk,Apache-2.0,2019-06-21 15:51:20,2026-05-21 14:42:13,2026-05-19 20:19:12,577,55.0,141,26,723,19.0,301.0,272,,,,95047.0,,Dapr SDK for Python.,1020.0,1020.0,93.0,https://pypi.org/project/dapr-ext-fastapi,95047.0,28,True,1,,,
