,name,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,trending
0,sqlalchemy,sqlalchemy/sqlalchemy,sqlalchemy,[],database-orms,{},1196556.0,1196556.0,853.0,https://pypi.org/project/sqlalchemy,401666259.0,401666259.0,,20,False,1.0,-26.0
1,graphene,graphql-python/graphene,graphene,[],graphql-api,{},31642.0,31642.0,212.0,https://pypi.org/project/graphene,39905122.0,39905122.0,,17,False,1.0,
2,motor,mongodb/motor,motor,[],database-odms,{},129277.0,129277.0,62.0,https://pypi.org/project/motor,10573046.0,10573046.0,,16,False,1.0,
3,mongoengine,MongoEngine/mongoengine,mongoengine,[],database-odms,{},28050.0,28050.0,402.0,https://pypi.org/project/mongoengine,2375167.0,2375167.0,,15,False,2.0,-24.0
4,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],database-orm-integrations,{},32327.0,32327.0,112.0,https://pypi.org/project/sqlmodel,19731622.0,19731622.0,,15,False,1.0,-24.0
5,tortoise-orm,tortoise/tortoise-orm,tortoise-orm,[],database-orms,{},10636.0,10636.0,178.0,https://pypi.org/project/tortoise-orm,611368.0,611368.0,,14,False,2.0,
6,SlowApi,laurentS/slowapi,slowapi,['rate-limiting'],restful-api-rate-limiting,{},11623.0,11623.0,28.0,https://pypi.org/project/slowapi,20176280.0,20176280.0,,14,False,1.0,
7,fastapi-pagination,uriyyo/fastapi-pagination,fastapi-pagination,['pagination'],restful-api-pagination,{},4705.0,4705.0,61.0,https://pypi.org/project/fastapi-pagination,3597138.0,3597138.0,,14,False,1.0,
8,prometheus-fastapi-instrumentator,trallnag/prometheus-fastapi-instrumentator,prometheus-fastapi-instrumentator,['observability'],restful-api-observability,{},8726.0,8726.0,35.0,https://pypi.org/project/prometheus-fastapi-instrumentator,15164985.0,15164985.0,,14,False,1.0,
9,fastapi-users,fastapi-users/fastapi-users,fastapi-users,['authentication'],restful-api-authentication,{},5765.0,5765.0,78.0,https://pypi.org/project/fastapi-users,1492875.0,1492875.0,,13,False,1.0,
10,sqladmin,aminalaee/sqladmin,sqladmin,[],admin-interface,{},1893.0,1893.0,103.0,https://pypi.org/project/sqladmin,875292.0,875292.0,,12,False,1.0,
11,ariadne,mirumee/ariadne,ariadne,[],graphql-api,{},2057.0,2057.0,88.0,https://pypi.org/project/ariadne,1559981.0,1559981.0,,12,False,2.0,
12,odmantic,art049/odmantic,odmantic,[],database-odms,{},3598.0,3598.0,22.0,https://pypi.org/project/odmantic,116284.0,116284.0,,11,False,3.0,
13,ormar,collerek/ormar,ormar,[],database-orms,{},1108.0,1108.0,55.0,https://pypi.org/project/ormar,158056.0,158056.0,,11,False,2.0,
14,piccolo,piccolo-orm/piccolo,piccolo,[],database-orms,{},534.0,534.0,55.0,https://pypi.org/project/piccolo,573813.0,573813.0,,11,False,2.0,
15,Dapr SDK for Python,dapr/python-sdk,dapr-ext-fastapi,[],dappfs,{},1068.0,1068.0,100.0,https://pypi.org/project/dapr-ext-fastapi,78156.0,78156.0,,11,False,1.0,
16,pymongo,mongodb/mongo-python-driver,pymongo,[],database-odms,{},,,246.0,https://pypi.org/project/pymongo,115366898.0,115366898.0,,10,False,3.0,-23.0
17,gino,python-gino/gino,gino,[],database-orms,{},2505.0,2505.0,45.0,https://pypi.org/project/gino,26058.0,26058.0,,10,False,3.0,
18,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,{},5903.0,5903.0,328.0,https://pypi.org/project/strawberry,710.0,710.0,,10,False,3.0,
19,authx,yezz123/AuthX,authx,['authentication'],restful-api-authentication,{},250.0,250.0,24.0,https://pypi.org/project/authx,60711.0,60711.0,,10,False,2.0,
